channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15,channel16,3.99,3.95,3.9,Bit per symbol/diff modulation format
1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0.002468971,0.002455596,0.00238291,"if three paras > 0.3, choose the min one,others, choose the one who is <0.3 and close to 0.3."
1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0.003001173,0.003038342,0.002387275,
1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0.0029539,0.00297635,0.002197782,
1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0.003109165,0.003339508,0.002598758,
1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0.00221411,0.002411315,0.001816952,
1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0.002409544,0.002499833,0.001979491,
1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0.002254781,0.0023844,0.001959719,
1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0.002883405,0.002582589,0.00240924,
1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0.002248676,0.002494263,0.002035582,
1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0.002583981,0.002699807,0.002226444,
1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0.00234129,0.002630068,0.002221348,
1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0.002827097,0.002757535,0.002311793,
1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0.002259875,0.002210258,0.001923617,
1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0.002670516,0.002502224,0.002257428,
1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0.002370891,0.002574526,0.002016685,
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0.002759223,0.002707728,0.002379806,
1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0.00222362,0.002502307,0.002018156,
1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0.002835001,0.002767542,0.002237255,
1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0.002683933,0.002701887,0.002350151,
1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.003266173,0.003023224,0.002573971,
1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0.002356532,0.002348241,0.001898975,
1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0.002508761,0.002638946,0.002147165,
1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0.002282232,0.002632227,0.002147644,
1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.002960759,0.003026821,0.002357422,
1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0.002631142,0.002350824,0.002263278,
1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.002467676,0.002912859,0.002223446,
1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0.003021722,0.002556941,0.002180634,
1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0.002973475,0.00313907,0.002409604,
1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.002595649,0.002581532,0.002155526,
1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0.00252723,0.002698242,0.00234761,
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0.002429101,0.002797061,0.002260116,
1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0.002794449,0.003449567,0.002643574,
1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0.002550163,0.00281949,0.002148552,
1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0.002812777,0.002944759,0.002624101,
1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.002723933,0.003036352,0.002434548,
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.002752533,0.003176359,0.0027255,
1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.001914813,0.002056223,0.001667925,
1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0.00227745,0.002460542,0.001935357,
1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0.00234182,0.002467321,0.001963699,
1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0.002410164,0.002632232,0.002140041,
1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0.002222823,0.00228744,0.00197002,
1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0.002485066,0.002694411,0.002177721,
1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0.002276549,0.002668587,0.002424425,
1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0.002959078,0.003148192,0.002455228,
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0.001967214,0.002576565,0.002050754,
1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0.002278372,0.002653571,0.00231192,
1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0.002405388,0.002560598,0.002227312,
1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0.00257553,0.00290235,0.002390481,
1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0.002359322,0.002579811,0.002102035,
1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.00276951,0.002775893,0.002474482,
1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0.00252483,0.002879307,0.002373328,
1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.002799209,0.003211409,0.002967298,
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0.002113762,0.00227046,0.002018426,
1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0.002409804,0.002557692,0.002024743,
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0.002173067,0.002554934,0.002012192,
1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0.002831689,0.002996556,0.002596235,
1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0.002300066,0.002615487,0.002258671,
1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0.002808793,0.003019241,0.002338538,
1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0.002774587,0.002975208,0.002628714,
1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0.002782723,0.003127421,0.002757691,
1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0.002543915,0.002434789,0.002179946,
1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0.002638285,0.002816597,0.002468288,
1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0.002549665,0.002752302,0.002454741,
1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0.002656132,0.002910194,0.002520182,
1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0.002281895,0.002877011,0.002394777,
1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0.002618407,0.00317447,0.002528861,
1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0.002818813,0.002738787,0.002644541,
1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0.003187267,0.003097348,0.002631047,
1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0.002094736,0.002375174,0.002031787,
1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0.002170258,0.002290898,0.002093008,
1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0.002235291,0.002359962,0.002101428,
1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0.002771654,0.002887955,0.00255975,
1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0.002313003,0.002359187,0.002241821,
1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0.002550513,0.002607164,0.002511947,
1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0.003019378,0.002592233,0.002526839,
1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0.002891771,0.003172517,0.002528509,
1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0.002436699,0.002501649,0.002182759,
1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0.002676945,0.002843055,0.002324324,
1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0.002596924,0.002747776,0.002172017,
1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0.002847179,0.002767375,0.002405702,
1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0.002385265,0.002777831,0.002311812,
1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0.002749356,0.002722844,0.002466025,
1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0.00278707,0.002874221,0.00255639,
1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0.003533427,0.003048933,0.002706532,
1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0.002142221,0.002188908,0.002308151,
1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0.002363731,0.002654726,0.002286042,
1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0.002600399,0.002729939,0.002266246,
1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0.00275711,0.002936919,0.00237627,
1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0.002418175,0.002798381,0.002512162,
1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0.002898998,0.002789363,0.002847598,
1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0.002700273,0.003012311,0.002775049,
1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0.002756161,0.003192109,0.002767055,
1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0.002529398,0.002702947,0.00224745,
1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0.002650922,0.003009419,0.00247781,
1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0.002574415,0.003015682,0.002438591,
